WL,A25ME,A30ME,A35ME,A40ME,A45ME,A50ME,A55ME,A60ME,A65ME,A70ME,A75MEREF,A80ME,A85ME,A90ME
247.1,54835.01639,41698.76431,92281.73304,59790.36539,51578.01873,26371.81015,21932.69309,5941.344045,39008.74614,27276.11159,82433.12616,90825.77588,94877.61948,118088.5538
247,52546.6004,39400.19881,90427.75588,56672.27671,49418.1632,21911.99605,21552.38498,2662.116968,36530.47461,23711.44447,81179.16415,85506.83561,90776.4214,116191.7895
246.9,50812.02924,37440.74635,87227.27706,52431.57262,46871.83025,17802.65846,20487.68148,755.0857321,32627.49049,19772.26043,79154.63542,79065.87696,87768.98228,113650.8298
246.8,48919.24513,34185.14176,82976.22445,48222.1131,44847.10251,15457.0669,19266.1382,-52.38122309,29526.51667,15530.8001,76995.37692,72339.33896,85032.39577,111164.9959
246.7,46827.45102,31997.62384,78328.14689,44631.57468,41942.15354,12553.90902,17817.58421,918.7316551,26170.41203,12746.86911,73674.49705,66270.13099,82130.43195,107629.3842
246.6,44636.74894,29312.97894,73156.27501,41028.89665,39206.36307,11474.08076,14959.40259,2007.931296,23703.28506,9682.970857,69518.1732,60901.0402,79160.40671,104100.5389
246.5,42262.36063,26511.91319,67188.96016,37452.88596,37384.0285,11485.70294,10610.99429,3982.608021,22905.65298,7450.33737,64491.37961,55873.25156,75758.33076,99175.63845
246.4,39760.2079,24276.03584,62092.91109,33806.62474,35396.51563,11083.50373,6121.448095,5196.608823,21022.62036,5011.967345,58968.45409,51348.95822,73262.34734,93097.47503
246.3,37608.11376,22004.73471,57476.67513,30551.61718,32644.80436,10717.30543,102.4597015,5719.786212,18619.47511,2185.269107,52382.41715,45550.20484,69890.52091,85917.19423
246.2,34248.22793,19691.18376,52103.20612,27527.85924,30211.50909,9825.282908,-6535.468499,5571.941683,16353.70645,187.0867139,45219.84824,39595.22861,65495.18605,78144.65967
246.1,30897.89458,17361.75181,47991.06249,24410.5666,26637.28949,7998.191999,-13787.4725,4305.282835,12777.67586,-2949.268497,38132.10709,34422.56069,62730.34012,70566.15986
246,27477.11169,15921.85475,44707.5965,20145.38428,22241.95463,5396.593972,-21652.288,2660.007462,8989.361304,-6537.518302,30707.04399,29613.08602,59355.92656,63039.40265
245.9,23796.22273,13592.66161,41778.56732,16103.03346,17530.53219,2124.292443,-29050.88277,-241.4667934,4543.298795,-10642.39807,23127.94715,25255.96108,56011.96153,54664.86284
245.8,19627.34135,11125.89286,38828.64209,12126.05742,12433.64728,-830.2458388,-37481.94142,-2409.831991,-1494.787991,-15941.37763,14627.1355,22084.1397,52874.56888,46666.25292
245.7,14861.44987,8491.478086,36208.47643,8174.037235,6273.233022,-4370.816828,-43588.36426,-4718.5271,-9261.487578,-22997.79461,6197.290806,17402.90707,51091.8373,38797.59653
245.6,9248.173809,5477.929359,32329.57252,4776.319604,80.01555268,-8540.295239,-50523.46474,-7459.312721,-17186.62301,-31136.90559,-2959.67672,14461.79799,47700.10987,30050.90802
245.5,2848.390328,1676.977666,28200.31403,1325.820541,-7156.578709,-13226.72203,-57493.19296,-11310.57414,-23788.66035,-39914.04263,-11747.67971,11347.09248,43417.81269,22386.03787
