WL,BCoh25ME,BCoh30ME,BCoh35ME,BCoh40ME,BCoh45ME,BCoh50ME,BCoh55ME,BCoh60ME,BCoh65ME,BCoh70ME,BCoh75ME,BCoh80ME,Bcoh 85ME,Bcoh90ME
223.6,-16069665.92,-16188463.18,-16018050.91,-15678705.4,-15435069.5,-15176117.06,-14903678.04,-15365154.85,-14942408.1,-15105926.66,-14659590.92,-14489404.27,-14508079.93,-14365618.49
223.5,-16160236.61,-16255595.28,-16104710.99,-15740974.31,-15497162.94,-15257713.4,-14966673.92,-15443667.83,-15009364.73,-15156062.66,-14752242.25,-14542598.57,-14539289.59,-14398758.38
223.4,-16249453.62,-16318265.28,-16190694.23,-15801262.85,-15551660.77,-15346704.8,-15036237.62,-15519247.85,-15075067.96,-15196798.16,-14848553.51,-14592032.66,-14584637.6,-14427536.45
223.3,-16344060.25,-16373013.79,-16275348.86,-15866214.04,-15605556.97,-15435595.93,-15109661.8,-15592722.16,-15135657.31,-15242647.54,-14944764.49,-14644675.46,-14633119.12,-14460174.98
223.2,-16441349.16,-16425029.89,-16359903.23,-15932744.51,-15659779.06,-15520576.45,-15193163.3,-15656144.2,-15204945.26,-15285789.56,-15038117.72,-14701604.89,-14680748.32,-14484039.72
223.1,-16536908.38,-16476870.52,-16444708.27,-16012987.18,-15711268.73,-15609718.26,-15277667.53,-15711293.8,-15272027.23,-15328254.76,-15126206.68,-14754623.71,-14723113.24,-14509258.13
223,-16626701.95,-16525176.55,-16521416.35,-16091625.49,-15762633.06,-15694197.42,-15357860.06,-15756892.49,-15339435.08,-15376234.91,-15211788.83,-14804634.37,-14760990.98,-14535755
222.9,-16708950.06,-16563856.48,-16601984.9,-16175603.29,-15815852.42,-15774640.63,-15442439.5,-15789631.3,-15401854.4,-15420680.47,-15293284.9,-14860987.24,-14805762.43,-14556887.33
222.8,-16776157.37,-16606221.4,-16672701.73,-16248400.76,-15869172.06,-15853705.1,-15516590.64,-15818258.95,-15457680.84,-15462518.96,-15367360.84,-14908867.12,-14848678.85,-14576665.98
222.7,-16836696.59,-16647984.68,-16740936.83,-16324457.08,-15919934.76,-15924823.02,-15587257.33,-15844805.96,-15514810.81,-15504658.27,-15438027.53,-14950053.84,-14892873.73,-14602135.07
222.6,-16892548.09,-16694836.78,-16823335.34,-16400513.39,-15964254.98,-15989423.26,-15662235.72,-15873859.78,-15571690.1,-15543563.81,-15500421.78,-14988558.29,-14948449.49,-14635751.26
222.5,-16947797.96,-16736424.59,-16905909.34,-16471606.24,-16004764.87,-16047455.68,-15730796.7,-15898551.76,-15619369.44,-15583396.86,-15550632.98,-15033755.89,-15020469.85,-14669116.76
222.4,-16996129.07,-16784204.2,-16995853.32,-16536833.17,-16046678.57,-16098368.78,-15808682.98,-15928508.02,-15655843.38,-15618441.92,-15600543.37,-15080482.64,-15091838.45,-14711055.53
222.3,-17039596.98,-16838626.82,-17083867.07,-16609630.64,-16089494.71,-16143014.89,-15897323.42,-15958589.62,-15689910.79,-15654213.96,-15653486.99,-15115327.16,-15164711.12,-14761918.5
222.2,-17083716.66,-16899993.29,-17165588.75,-16674732.24,-16140382.75,-16182271.38,-15974282.18,-15991604.17,-15721145.52,-15694147.28,-15708736.86,-15152578.21,-15237107.51,-14817644.66
222.1,-17124702.84,-16965220.22,-17248388.35,-16737703.06,-16201072.38,-16216739.88,-16061218.01,-16020507.58,-15748645.12,-15734130.74,-15767772,-15191884.84,-15303763.32,-14875426.4
222,-17162555.52,-17023077.17,-17321461.57,-16788215.08,-16273744.51,-16251734.81,-16144920.06,-16053522.13,-15775116.92,-15771557.27,-15819687.83,-15231968.57,-15361244.24,-14939826.1
221.9,-17197400.04,-17082638.74,-17386036.74,-16837824.65,-16349976.3,-16285225.66,-16223182.36,-16090973.72,-15804120.6,-15811239.91,-15871327.91,-15277241.38,-15402556.31,-15010618.13
221.8,-17230514.87,-17136835.75,-17435320.43,-16882771.57,-16429366.66,-16314881.1,-16293974.39,-16120253.15,-15832723.19,-15858117.07,-15923619.76,-15324243.88,-15434543.08,-15079003.63
